datetime,latitude,longitude
2019-10-11 07:35:23,42.61488496,9.50095826
2019-10-11 07:35:32,42.61483551,9.50097400
2019-10-11 07:35:39,42.61479768,9.50100838
2019-10-11 07:35:46,42.61475896,9.50105223
2019-10-11 07:35:54,42.61473409,9.50110695
2019-10-11 07:36:03,42.61469514,9.50114921
2019-10-11 07:36:11,42.61465262,9.50118733
2019-10-11 07:36:19,42.61461844,9.50123417
2019-10-11 07:36:28,42.61458938,9.50128113
2019-10-11 07:36:36,42.61455387,9.50132314
2019-10-11 07:36:43,42.61450888,9.50135623
2019-10-11 07:36:50,42.61446456,9.50137153
2019-10-11 07:36:57,42.61442298,9.50141240
2019-10-11 07:37:04,42.61439202,9.50145979
2019-10-11 07:37:11,42.61435905,9.50150730
2019-10-11 07:37:18,42.61433621,9.50156069
2019-10-11 07:37:25,42.61430695,9.50162020
2019-10-11 07:37:31,42.61427524,9.50166399
2019-10-11 07:37:39,42.61422907,9.50169729
2019-10-11 07:37:45,42.61418821,9.50172608
2019-10-11 07:37:53,42.61414595,9.50176413
2019-10-11 07:38:01,42.61410791,9.50181003
2019-10-11 07:38:07,42.61406220,9.50182442
2019-10-11 07:38:14,42.61401686,9.50184355
2019-10-11 07:38:24,42.61398053,9.50188677
2019-10-11 07:38:32,42.61395115,9.50194292
2019-10-11 07:38:40,42.61391122,9.50198108
2019-10-11 07:38:47,42.61386867,9.50201603
2019-10-11 07:38:54,42.61383522,9.50206547
2019-10-11 07:39:01,42.61379929,9.50210630
2019-10-11 07:39:06,42.61375892,9.50213449
2019-10-11 07:39:12,42.61371850,9.50216643
2019-10-11 07:39:20,42.61368980,9.50222241
2019-10-11 07:39:28,42.61366864,9.50228040
2019-10-11 07:39:34,42.61366045,9.50234606
2019-10-11 07:39:43,42.61365814,9.50241472
2019-10-11 07:39:49,42.61365903,9.50247919
2019-10-11 07:39:57,42.61367975,9.50253713
2019-10-11 07:40:03,42.61369821,9.50260097
2019-10-11 07:40:10,42.61371646,9.50266117
2019-10-11 07:40:18,42.61374422,9.50271766
2019-10-11 07:40:25,42.61377863,9.50276759
2019-10-11 07:40:30,42.61381615,9.50281385
2019-10-11 07:40:37,42.61385549,9.50284908
2019-10-11 07:40:42,42.61389364,9.50288368
2019-10-11 07:40:48,42.61393464,9.50292551
2019-10-11 07:40:55,42.61396298,9.50297342
2019-10-11 07:41:00,42.61399475,9.50301956
2019-10-11 07:41:06,42.61402912,9.50307146
2019-10-11 07:41:12,42.61405243,9.50312915
2019-10-11 07:41:19,42.61406535,9.50319645
2019-10-11 07:41:26,42.61407146,9.50325993
2019-10-11 07:41:37,42.61409998,9.50330832
2019-10-11 07:42:00,42.61415784,9.50327096
2019-10-11 07:42:02,42.61424195,9.50321753
2019-10-11 07:42:04,42.61429557,9.50318194
2019-10-11 07:42:06,42.61435673,9.50313243
2019-10-11 07:42:08,42.61441983,9.50306645
2019-10-11 07:42:10,42.61452843,9.50302116
2019-10-11 07:42:12,42.61459214,9.50294372
2019-10-11 07:42:15,42.61467638,9.50285038
2019-10-11 07:42:17,42.61480421,9.50270430
2019-10-11 07:42:20,42.61488201,9.50263589
2019-10-11 07:42:23,42.61498997,9.50250313
2019-10-11 07:42:25,42.61508871,9.50235324
2019-10-11 07:42:28,42.61517751,9.50221376
2019-10-11 07:42:30,42.61536020,9.50202961
2019-10-11 07:42:32,42.61546543,9.50192111
2019-10-11 07:42:35,42.61554959,9.50178646
2019-10-11 07:42:37,42.61561961,9.50164819
2019-10-11 07:42:40,42.61571330,9.50142986
2019-10-11 07:42:42,42.61583696,9.50121312
2019-10-11 07:42:45,42.61590871,9.50108305
2019-10-11 07:42:47,42.61602829,9.50084060
2019-10-11 07:42:50,42.61608624,9.50072075
2019-10-11 07:42:52,42.61615374,9.50056569
2019-10-11 07:42:54,42.61628687,9.50033642
2019-10-11 07:42:57,42.61639850,9.50018242
2019-10-11 07:42:59,42.61650112,9.49997647
2019-10-11 07:43:01,42.61659128,9.49985065
2019-10-11 07:43:04,42.61670864,9.49970751
2019-10-11 07:43:06,42.61682192,9.49957530
2019-10-11 07:43:08,42.61694024,9.49945639
2019-10-11 07:43:10,42.61701550,9.49932878
2019-10-11 07:43:13,42.61713550,9.49914562
2019-10-11 07:43:15,42.61723313,9.49901912
2019-10-11 07:43:17,42.61737683,9.49880316
2019-10-11 07:43:20,42.61746383,9.49864194
2019-10-11 07:43:23,42.61759832,9.49841540
2019-10-11 07:43:26,42.61774267,9.49822948
2019-10-11 07:43:28,42.61780731,9.49812905
2019-10-11 07:43:30,42.61790545,9.49799349
2019-10-11 07:43:33,42.61796071,9.49791750
2019-10-11 07:43:36,42.61800739,9.49783904
2019-10-11 07:43:38,42.61805063,9.49777127
2019-10-11 07:43:40,42.61807117,9.49771544
2019-10-11 07:43:46,42.61803681,9.49766318
2019-10-11 07:43:48,42.61800951,9.49757466
2019-10-11 07:43:51,42.61797933,9.49750985
2019-10-11 07:43:53,42.61796648,9.49743604
2019-10-11 07:43:55,42.61797142,9.49732510
2019-10-11 07:43:58,42.61797115,9.49724401
2019-10-11 07:44:00,42.61795599,9.49715292
2019-10-11 07:44:03,42.61791775,9.49700964
2019-10-11 07:44:05,42.61788956,9.49691668
2019-10-11 07:44:07,42.61786835,9.49682034
2019-10-11 07:44:09,42.61785656,9.49673964
2019-10-11 07:44:11,42.61786154,9.49667679
2019-10-11 07:44:13,42.61786255,9.49658880
2019-10-11 07:44:17,42.61785943,9.49651754
2019-10-11 07:44:23,42.61791161,9.49647631
2019-10-11 07:44:25,42.61798147,9.49648637
2019-10-11 07:44:34,42.61802120,9.49652578
2019-10-11 07:44:44,42.61806000,9.49657212
2019-10-11 07:44:49,42.61812130,9.49656491
2019-10-11 07:44:51,42.61817004,9.49655246
2019-10-11 07:44:54,42.61822403,9.49654510
2019-10-11 07:44:57,42.61827265,9.49653051
2019-10-11 07:45:03,42.61831675,9.49650082
2019-10-11 07:45:10,42.61834141,9.49644742
2019-10-11 07:45:16,42.61837669,9.49640158
2019-10-11 07:45:23,42.61842270,9.49638372
2019-10-11 07:45:30,42.61846191,9.49634902
2019-10-11 07:45:39,42.61850696,9.49633496
2019-10-11 07:45:45,42.61854939,9.49630545
2019-10-11 07:45:52,42.61859316,9.49626898
2019-10-11 07:46:06,42.61861839,9.49621520
2019-10-11 07:46:11,42.61866149,9.49619050
2019-10-11 07:46:16,42.61870330,9.49615870
2019-10-11 07:46:23,42.61874930,9.49613411
2019-10-11 07:46:30,42.61879724,9.49612039
2019-10-11 07:46:36,42.61884772,9.49610554
2019-10-11 07:46:43,42.61889662,9.49608607
2019-10-11 07:46:50,42.61894488,9.49605987
2019-10-11 07:46:56,42.61899241,9.49603271
2019-10-11 07:47:01,42.61903631,9.49601032
2019-10-11 07:47:07,42.61908636,9.49600203
2019-10-11 07:47:12,42.61913430,9.49599728
2019-10-11 07:47:25,42.61917979,9.49598668
2019-10-11 07:47:32,42.61922029,9.49595433
2019-10-11 07:47:39,42.61927299,9.49594126
2019-10-11 07:47:45,42.61932141,9.49593026
2019-10-11 07:47:50,42.61936814,9.49591917
2019-10-11 07:47:56,42.61941896,9.49590686
2019-10-11 07:48:03,42.61946960,9.49590541
2019-10-11 07:48:10,42.61951518,9.49590544
2019-10-11 07:48:16,42.61956711,9.49589689
2019-10-11 07:48:21,42.61961271,9.49587901
2019-10-11 07:48:27,42.61966025,9.49585972
2019-10-11 07:48:33,42.61971302,9.49584719
2019-10-11 07:48:38,42.61975862,9.49583688
2019-10-11 07:48:43,42.61980404,9.49582353
2019-10-11 07:48:49,42.61985486,9.49580783
2019-10-11 07:48:55,42.61989685,9.49577460
2019-10-11 07:49:03,42.61994596,9.49575820
2019-10-11 07:49:15,42.61999326,9.49574877
2019-10-11 07:49:24,42.62004233,9.49573953
2019-10-11 07:49:29,42.62009133,9.49574169
2019-10-11 07:49:34,42.62013796,9.49574921
2019-10-11 07:49:39,42.62018393,9.49574961
2019-10-11 07:49:45,42.62022948,9.49573880
2019-10-11 07:49:51,42.62028157,9.49573187
2019-10-11 07:49:59,42.62033415,9.49572675
2019-10-11 07:50:07,42.62038106,9.49572629
2019-10-11 07:50:14,42.62042732,9.49571696
2019-10-11 07:50:23,42.62047355,9.49570557
2019-10-11 07:50:28,42.62052298,9.49569525
2019-10-11 07:50:33,42.62057788,9.49568300
2019-10-11 07:50:38,42.62062525,9.49567087
2019-10-11 07:50:43,42.62067106,9.49566410
